zh-Hans,cmdidSqlBuild,生成SQL语句
zh-Hans,cmdidT4Drop,添加 T4 模板
zh-Hans,Command1Id,创建 EF Core 数据库上下文中...
zh-Hant,cmdidAbout,關於
zh-Hant,cmdidCmdAnalyze,EF Core Power Tools - Analyze (experimental)
zh-Hant,cmdidCmdDatabase,EF Core Power Tools - 反向工程
zh-Hant,cmdidCmdDiagram,EF Core Power Tools - ER Diagram
zh-Hant,cmdidDacpacReport,Analyze (preview)
zh-Hant,cmdidDbCompare,比較 DbContext 和資料庫
zh-Hant,cmdidDbDgml,視覺化資料庫結構 (預覽版)
zh-Hant,cmdidDbErDiagram,ER Diagram
zh-Hant,cmdidDebugViewBuild,檢視 DbContext 的 DebugView
zh-Hant,cmdidDgmlBuild,新增 DbContext 圖表
zh-Hant,cmdidDgmlNuget,新增 AsDgml() 擴充方法
zh-Hant,cmdidOptions,選項
zh-Hant,cmdidReverseEngineerCodeFirst,反向工程
zh-Hant,cmdidReverseEngineerEdit,EF Core Power Tools - 編輯
zh-Hant,cmdidReverseEngineerRefresh,EF Core Power Tools - 重新整理
zh-Hant,cmdidReverseEngineerRefresh,Refresh
zh-Hant,cmdidSqlBuild,檢視 DbContext DDL SQL
zh-Hant,cmdidT4Drop,新增 T4 Scaffolding 樣板
zh-Hant,Command1Id,正在建立 EF Core DbContext...
